song,album,prev,lyric,next
Sleeping Annaleah,Kicking Against The Pricks,Sleeping Annaleah,Weeping Annaleah,Then you’d be ready for me
Sleeping Annaleah,Kicking Against The Pricks,Weeping Annaleah,Then you’d be ready for me,
Sleeping Annaleah,Kicking Against The Pricks,Then you’d be ready for me,,Sleeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,,Sleeping Annaleah,Weeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Sleeping Annaleah,Weeping Annaleah,Sleeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Weeping Annaleah,Sleeping Annaleah,Weeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Sleeping Annaleah,Weeping Annaleah,Sleeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Weeping Annaleah,Sleeping Annaleah,Weeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Sleeping Annaleah,Weeping Annaleah,
Long Black Veil,Kicking Against The Pricks,,She walks these hills in a long black veil,She visits my grave when the night winds wail
Long Black Veil,Kicking Against The Pricks,She walks these hills in a long black veil,She visits my grave when the night winds wail,"Nobody knows, nobody sees"
Long Black Veil,Kicking Against The Pricks,She visits my grave when the night winds wail,"Nobody knows, nobody sees",Nobody knows but me
Long Black Veil,Kicking Against The Pricks,"Nobody knows, nobody sees",Nobody knows but me,
Long Black Veil,Kicking Against The Pricks,Nobody knows but me,,"Ten years ago, on a cold dark night"
Long Black Veil,Kicking Against The Pricks,,"Ten years ago, on a cold dark night",Someone was killed ‘neath the town hall light
Long Black Veil,Kicking Against The Pricks,"Ten years ago, on a cold dark night",Someone was killed ‘neath the town hall light,"There were few at the scene, but they all agreed"
Long Black Veil,Kicking Against The Pricks,Someone was killed ‘neath the town hall light,"There were few at the scene, but they all agreed",That the slayer who ran looked a lot like me
Long Black Veil,Kicking Against The Pricks,"There were few at the scene, but they all agreed",That the slayer who ran looked a lot like me,
Long Black Veil,Kicking Against The Pricks,That the slayer who ran looked a lot like me,,"The judge, he said: “Son, what is your alibi?"
Long Black Veil,Kicking Against The Pricks,,"The judge, he said: “Son, what is your alibi?","If you were somewhere else, then you won’t have to die”"
Long Black Veil,Kicking Against The Pricks,"The judge, he said: “Son, what is your alibi?","If you were somewhere else, then you won’t have to die”","But I spoke not a word, though it meant my life"
Long Black Veil,Kicking Against The Pricks,"If you were somewhere else, then you won’t have to die”","But I spoke not a word, though it meant my life",For I’d been in the arms of my best friend’s wife
Long Black Veil,Kicking Against The Pricks,"But I spoke not a word, though it meant my life",For I’d been in the arms of my best friend’s wife,
Long Black Veil,Kicking Against The Pricks,For I’d been in the arms of my best friend’s wife,,She walks these hills in a long black veil
Long Black Veil,Kicking Against The Pricks,,She walks these hills in a long black veil,She visits my grave when the night winds wail
Long Black Veil,Kicking Against The Pricks,She walks these hills in a long black veil,She visits my grave when the night winds wail,"Nobody knows, nobody sees"
Long Black Veil,Kicking Against The Pricks,She visits my grave when the night winds wail,"Nobody knows, nobody sees",Nobody knows but me
Long Black Veil,Kicking Against The Pricks,"Nobody knows, nobody sees",Nobody knows but me,
Long Black Veil,Kicking Against The Pricks,Nobody knows but me,,Now the scaffold is high and eternity is near
Long Black Veil,Kicking Against The Pricks,,Now the scaffold is high and eternity is near,She stood in the crowd but shed not a tear
Long Black Veil,Kicking Against The Pricks,Now the scaffold is high and eternity is near,She stood in the crowd but shed not a tear,But sometimes at night when the cold winds moan
Long Black Veil,Kicking Against The Pricks,She stood in the crowd but shed not a tear,But sometimes at night when the cold winds moan,"In a long black veil, she cries on my bones"
Long Black Veil,Kicking Against The Pricks,But sometimes at night when the cold winds moan,"In a long black veil, she cries on my bones",
Long Black Veil,Kicking Against The Pricks,"In a long black veil, she cries on my bones",,She walks these hills in a long black veil
Long Black Veil,Kicking Against The Pricks,,She walks these hills in a long black veil,She visits my grave when the night winds wail
Long Black Veil,Kicking Against The Pricks,She walks these hills in a long black veil,She visits my grave when the night winds wail,"Nobody knows, nobody sees"
Long Black Veil,Kicking Against The Pricks,She visits my grave when the night winds wail,"Nobody knows, nobody sees",Nobody knows but me
Long Black Veil,Kicking Against The Pricks,"Nobody knows, nobody sees",Nobody knows but me,"No, no, nobody knows but me"
Long Black Veil,Kicking Against The Pricks,Nobody knows but me,"No, no, nobody knows but me",I said nobody knows but me
Long Black Veil,Kicking Against The Pricks,"No, no, nobody knows but me",I said nobody knows but me,Yeah nobody knows but me
