song,prev,lyric,next,album,year,artist
Evil!,Its breath is heavy and you’re all alone,A voice so clear you can feel its breath,Coming down the telephone,Grinderman 2,2010,Grinderman
Evil!,A voice so clear you can feel its breath,Coming down the telephone,,Grinderman 2,2010,Grinderman
Evil!,Coming down the telephone,,Evil! Evil! Evil! Evil!,Grinderman 2,2010,Grinderman
Evil!,,Evil! Evil! Evil! Evil!,,Grinderman 2,2010,Grinderman
Evil!,Evil! Evil! Evil! Evil!,,O my precious baby,Grinderman 2,2010,Grinderman
Evil!,,O my precious baby,Now is the time that we must speak,Grinderman 2,2010,Grinderman
Evil!,O my precious baby,Now is the time that we must speak,They have divided us from our children,Grinderman 2,2010,Grinderman
Evil!,Now is the time that we must speak,They have divided us from our children,And they’ve tossed them on the heap,Grinderman 2,2010,Grinderman
Evil!,They have divided us from our children,And they’ve tossed them on the heap,Who needs children? You are my child!,Grinderman 2,2010,Grinderman
Evil!,And they’ve tossed them on the heap,Who needs children? You are my child!,Who needs children? My little lamb!,Grinderman 2,2010,Grinderman
Evil!,Who needs children? You are my child!,Who needs children? My little lamb!,Who needs children! You are my child!,Grinderman 2,2010,Grinderman
Evil!,Who needs children? My little lamb!,Who needs children! You are my child!,Crying like a demon in your daddy’s arms!,Grinderman 2,2010,Grinderman
Evil!,Who needs children! You are my child!,Crying like a demon in your daddy’s arms!,,Grinderman 2,2010,Grinderman
Evil!,Crying like a demon in your daddy’s arms!,,Evil! Evil! Evil! Evil!,Grinderman 2,2010,Grinderman
Evil!,,Evil! Evil! Evil! Evil!,,Grinderman 2,2010,Grinderman
Evil!,Evil! Evil! Evil! Evil!,,O cling to me baby in this broken dream,Grinderman 2,2010,Grinderman
Evil!,,O cling to me baby in this broken dream,You are the moon! Who needs the moon?,Grinderman 2,2010,Grinderman
Evil!,O cling to me baby in this broken dream,You are the moon! Who needs the moon?,You are the stars! Who needs the stars?,Grinderman 2,2010,Grinderman
Evil!,You are the moon! Who needs the moon?,You are the stars! Who needs the stars?,O cling to me little baby in this broken dream,Grinderman 2,2010,Grinderman
Evil!,You are the stars! Who needs the stars?,O cling to me little baby in this broken dream,And let me protect you from this evil,Grinderman 2,2010,Grinderman
Evil!,O cling to me little baby in this broken dream,And let me protect you from this evil,,Grinderman 2,2010,Grinderman
Evil!,And let me protect you from this evil,,Evil! Evil! Evil! Evil!,Grinderman 2,2010,Grinderman
Evil!,,Evil! Evil! Evil! Evil!,,Grinderman 2,2010,Grinderman
Kitchenette,,I keep hanging around your kitchenette,And I’m gonna get a pot to cook you in,Grinderman 2,2010,Grinderman
Kitchenette,I keep hanging around your kitchenette,And I’m gonna get a pot to cook you in,I stick my fingers in your biscuit jar,Grinderman 2,2010,Grinderman
Kitchenette,And I’m gonna get a pot to cook you in,I stick my fingers in your biscuit jar,And crush all your gingerbread men,Grinderman 2,2010,Grinderman
Kitchenette,I stick my fingers in your biscuit jar,And crush all your gingerbread men,Cause I want you,Grinderman 2,2010,Grinderman
Kitchenette,And crush all your gingerbread men,Cause I want you,"Yeah, I want you to be my friend",Grinderman 2,2010,Grinderman
Kitchenette,Cause I want you,"Yeah, I want you to be my friend","Yeah, I want you",Grinderman 2,2010,Grinderman
Kitchenette,"Yeah, I want you to be my friend","Yeah, I want you","Yeah, I want to be your solitary man",Grinderman 2,2010,Grinderman
Kitchenette,"Yeah, I want you","Yeah, I want to be your solitary man",,Grinderman 2,2010,Grinderman
Kitchenette,"Yeah, I want to be your solitary man",,Try not to wake the executioner,Grinderman 2,2010,Grinderman
Kitchenette,,Try not to wake the executioner,He’s sleeping with a fireman’s axe,Grinderman 2,2010,Grinderman
Kitchenette,Try not to wake the executioner,He’s sleeping with a fireman’s axe,"He leaves his glass eye on the pillow, babe",Grinderman 2,2010,Grinderman
Kitchenette,He’s sleeping with a fireman’s axe,"He leaves his glass eye on the pillow, babe",And his dentures floating there in a glass,Grinderman 2,2010,Grinderman
Kitchenette,"He leaves his glass eye on the pillow, babe",And his dentures floating there in a glass,Makes it hard to relax!,Grinderman 2,2010,Grinderman
Kitchenette,And his dentures floating there in a glass,Makes it hard to relax!,Makes it hard to relax!,Grinderman 2,2010,Grinderman
Kitchenette,Makes it hard to relax!,Makes it hard to relax!,When I want you,Grinderman 2,2010,Grinderman
Kitchenette,Makes it hard to relax!,When I want you,I want you to be my friend,Grinderman 2,2010,Grinderman
Kitchenette,When I want you,I want you to be my friend,,Grinderman 2,2010,Grinderman
Kitchenette,I want you to be my friend,,Ah it’s getting hard to relax!,Grinderman 2,2010,Grinderman
Kitchenette,,Ah it’s getting hard to relax!,It’s getting hard to get my act together!,Grinderman 2,2010,Grinderman
Kitchenette,Ah it’s getting hard to relax!,It’s getting hard to get my act together!,,Grinderman 2,2010,Grinderman
Kitchenette,It’s getting hard to get my act together!,,What’s this husband of yours ever given to you,Grinderman 2,2010,Grinderman
Kitchenette,,What’s this husband of yours ever given to you,Oprah Winfrey on a plasma screen,Grinderman 2,2010,Grinderman
Kitchenette,What’s this husband of yours ever given to you,Oprah Winfrey on a plasma screen,And a brood of jug-eared buck-toothed imbeciles,Grinderman 2,2010,Grinderman
Kitchenette,Oprah Winfrey on a plasma screen,And a brood of jug-eared buck-toothed imbeciles,The ugliest kids I’ve ever seen,Grinderman 2,2010,Grinderman
Kitchenette,And a brood of jug-eared buck-toothed imbeciles,The ugliest kids I’ve ever seen,Oh baby I want you,Grinderman 2,2010,Grinderman
Kitchenette,The ugliest kids I’ve ever seen,Oh baby I want you,I want you to be my girlfriend,Grinderman 2,2010,Grinderman
Kitchenette,Oh baby I want you,I want you to be my girlfriend,,Grinderman 2,2010,Grinderman
Kitchenette,I want you to be my girlfriend,,Maybe we could send those kids to play down on the street,Grinderman 2,2010,Grinderman
Kitchenette,,Maybe we could send those kids to play down on the street,"Hey, shouldn’t you put shoes on their feet?",Grinderman 2,2010,Grinderman
Kitchenette,Maybe we could send those kids to play down on the street,"Hey, shouldn’t you put shoes on their feet?",It’s getting hard to relax,Grinderman 2,2010,Grinderman
Kitchenette,"Hey, shouldn’t you put shoes on their feet?",It’s getting hard to relax,It’s getting hard to relax,Grinderman 2,2010,Grinderman
Kitchenette,It’s getting hard to relax,It’s getting hard to relax,Gonna open up the window,Grinderman 2,2010,Grinderman
Kitchenette,It’s getting hard to relax,Gonna open up the window,Whose that coming up the back stairs?,Grinderman 2,2010,Grinderman
Kitchenette,Gonna open up the window,Whose that coming up the back stairs?,Tippy-toe  tippy-toe  tippy-toe  tippy-toe,Grinderman 2,2010,Grinderman
Kitchenette,Whose that coming up the back stairs?,Tippy-toe  tippy-toe  tippy-toe  tippy-toe,Coming up the back stairs,Grinderman 2,2010,Grinderman
Kitchenette,Tippy-toe  tippy-toe  tippy-toe  tippy-toe,Coming up the back stairs,,Grinderman 2,2010,Grinderman
Kitchenette,Coming up the back stairs,,I can see that you don’t really dig him,Grinderman 2,2010,Grinderman
Kitchenette,,I can see that you don’t really dig him,And I can see that you want it to quit,Grinderman 2,2010,Grinderman
Kitchenette,I can see that you don’t really dig him,And I can see that you want it to quit,But if you want to get your hand out of the cookie jar,Grinderman 2,2010,Grinderman
Kitchenette,And I can see that you want it to quit,But if you want to get your hand out of the cookie jar,You gonna have to let go of the biscuit,Grinderman 2,2010,Grinderman
Kitchenette,But if you want to get your hand out of the cookie jar,You gonna have to let go of the biscuit,O babe I want you,Grinderman 2,2010,Grinderman
Kitchenette,You gonna have to let go of the biscuit,O babe I want you,I want you to be my girlfriend,Grinderman 2,2010,Grinderman
Kitchenette,O babe I want you,I want you to be my girlfriend,"Yeah, I want you",Grinderman 2,2010,Grinderman
Kitchenette,I want you to be my girlfriend,"Yeah, I want you","Yeah, I want to be your solitary man",Grinderman 2,2010,Grinderman
Kitchenette,"Yeah, I want you","Yeah, I want to be your solitary man",I wanna be that man!,Grinderman 2,2010,Grinderman
Kitchenette,"Yeah, I want to be your solitary man",I wanna be that man!,,Grinderman 2,2010,Grinderman
Palaces of Montezuma,,Psychedelic invocations,Of Mata Hari at the station,Grinderman 2,2010,Grinderman
Palaces of Montezuma,Psychedelic invocations,Of Mata Hari at the station,I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,Of Mata Hari at the station,I give to you,A Java princess of Hindu birth,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,A Java princess of Hindu birth,"A woman of flesh, a child of the earth",Grinderman 2,2010,Grinderman
Palaces of Montezuma,A Java princess of Hindu birth,"A woman of flesh, a child of the earth",I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,"A woman of flesh, a child of the earth",I give to you,The hanging gardens of Babylon,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,The hanging gardens of Babylon,"Miles Davis, the black unicorn",Grinderman 2,2010,Grinderman
Palaces of Montezuma,The hanging gardens of Babylon,"Miles Davis, the black unicorn",I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,"Miles Davis, the black unicorn",I give to you,The Palaces on Montezuma,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,The Palaces on Montezuma,And the gardens of Akbar’s Tomb,Grinderman 2,2010,Grinderman
Palaces of Montezuma,The Palaces on Montezuma,And the gardens of Akbar’s Tomb,I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,And the gardens of Akbar’s Tomb,I give to you,The Spider Goddess and the Needle Boy,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,The Spider Goddess and the Needle Boy,And the slave-dwarves that they employ,Grinderman 2,2010,Grinderman
Palaces of Montezuma,The Spider Goddess and the Needle Boy,And the slave-dwarves that they employ,I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,And the slave-dwarves that they employ,I give to you,A custard-coloured super-dream,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,A custard-coloured super-dream,Of Ali McGraw and Steve McQueen,Grinderman 2,2010,Grinderman
Palaces of Montezuma,A custard-coloured super-dream,Of Ali McGraw and Steve McQueen,I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,Of Ali McGraw and Steve McQueen,I give to you,,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,,"C’mon baby, let’s get out of the cold",Grinderman 2,2010,Grinderman
Palaces of Montezuma,,"C’mon baby, let’s get out of the cold",And gimme gimme gimme your precious love,Grinderman 2,2010,Grinderman
Palaces of Montezuma,"C’mon baby, let’s get out of the cold",And gimme gimme gimme your precious love,For me to hold,Grinderman 2,2010,Grinderman
Palaces of Montezuma,And gimme gimme gimme your precious love,For me to hold,,Grinderman 2,2010,Grinderman
Palaces of Montezuma,For me to hold,,The Epic of Gilgamesh,Grinderman 2,2010,Grinderman
Palaces of Montezuma,,The Epic of Gilgamesh,A pretty little black A-line dress,Grinderman 2,2010,Grinderman
Palaces of Montezuma,The Epic of Gilgamesh,A pretty little black A-line dress,I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,A pretty little black A-line dress,I give to you,The spinal cord of JFK,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,The spinal cord of JFK,Wrapped in Marilyn Monroe’s negligee,Grinderman 2,2010,Grinderman
Palaces of Montezuma,The spinal cord of JFK,Wrapped in Marilyn Monroe’s negligee,I give to you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,Wrapped in Marilyn Monroe’s negligee,I give to you,I want nothing in return,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I give to you,I want nothing in return,Just the softest little breathless word,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I want nothing in return,Just the softest little breathless word,I ask of you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,Just the softest little breathless word,I ask of you,A word contained in a grain of sand,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I ask of you,A word contained in a grain of sand,"That can barely walk, can’t even stand",Grinderman 2,2010,Grinderman
Palaces of Montezuma,A word contained in a grain of sand,"That can barely walk, can’t even stand",I ask for you,Grinderman 2,2010,Grinderman
Palaces of Montezuma,"That can barely walk, can’t even stand",I ask for you,,Grinderman 2,2010,Grinderman
Palaces of Montezuma,I ask for you,,"C’mon baby, let’s get out of the cold",Grinderman 2,2010,Grinderman
Palaces of Montezuma,,"C’mon baby, let’s get out of the cold",And gimme gimme gimme your precious love,Grinderman 2,2010,Grinderman
Palaces of Montezuma,"C’mon baby, let’s get out of the cold",And gimme gimme gimme your precious love,For me to hold,Grinderman 2,2010,Grinderman
Palaces of Montezuma,And gimme gimme gimme your precious love,For me to hold,"C’mon baby, come out of the cold",Grinderman 2,2010,Grinderman
Palaces of Montezuma,For me to hold,"C’mon baby, come out of the cold",And gimme gimme gimme your precious love,Grinderman 2,2010,Grinderman
Palaces of Montezuma,"C’mon baby, come out of the cold",And gimme gimme gimme your precious love,For me to hold,Grinderman 2,2010,Grinderman
Palaces of Montezuma,And gimme gimme gimme your precious love,For me to hold,,Grinderman 2,2010,Grinderman
Bellringer Blues,,I saw my old friend Gabriel,Down the perimeter ringing a bell,Grinderman 2,2010,Grinderman
Bellringer Blues,I saw my old friend Gabriel,Down the perimeter ringing a bell,I said hello,Grinderman 2,2010,Grinderman
Bellringer Blues,Down the perimeter ringing a bell,I said hello,Hey man is there something wrong?,Grinderman 2,2010,Grinderman
Bellringer Blues,I said hello,Hey man is there something wrong?,Where has everybody gone?,Grinderman 2,2010,Grinderman
Bellringer Blues,Hey man is there something wrong?,Where has everybody gone?,I don’t know,Grinderman 2,2010,Grinderman
Bellringer Blues,Where has everybody gone?,I don’t know,"Well, I put my hand across my mouth",Grinderman 2,2010,Grinderman
Bellringer Blues,I don’t know,"Well, I put my hand across my mouth",And I went out,Grinderman 2,2010,Grinderman
Bellringer Blues,"Well, I put my hand across my mouth",And I went out,"Yeah, moving slow",Grinderman 2,2010,Grinderman
Bellringer Blues,And I went out,"Yeah, moving slow",What are you doing he said to me,Grinderman 2,2010,Grinderman
Bellringer Blues,"Yeah, moving slow",What are you doing he said to me,I’m looking for my company,Grinderman 2,2010,Grinderman
Bellringer Blues,What are you doing he said to me,I’m looking for my company,"He said don’t bother, no",Grinderman 2,2010,Grinderman
Bellringer Blues,I’m looking for my company,"He said don’t bother, no",,Grinderman 2,2010,Grinderman
Bellringer Blues,"He said don’t bother, no",,"Well, next thing you l know when I took a look",Grinderman 2,2010,Grinderman
Bellringer Blues,,"Well, next thing you l know when I took a look",Gabe was trying to sell me a book,Grinderman 2,2010,Grinderman
Bellringer Blues,"Well, next thing you l know when I took a look",Gabe was trying to sell me a book,But I got no dough,Grinderman 2,2010,Grinderman
Bellringer Blues,Gabe was trying to sell me a book,But I got no dough,"He said check it out, it’s going cheap",Grinderman 2,2010,Grinderman
Bellringer Blues,But I got no dough,"He said check it out, it’s going cheap","Check it out, it’s going cheap",Grinderman 2,2010,Grinderman
Bellringer Blues,"He said check it out, it’s going cheap","Check it out, it’s going cheap",I’ll give it a go,Grinderman 2,2010,Grinderman
Bellringer Blues,"Check it out, it’s going cheap",I’ll give it a go,"Well, I read that book, every page",Grinderman 2,2010,Grinderman
Bellringer Blues,I’ll give it a go,"Well, I read that book, every page",And then I put it away,Grinderman 2,2010,Grinderman
Bellringer Blues,"Well, I read that book, every page",And then I put it away,Said I don’t think so,Grinderman 2,2010,Grinderman
Bellringer Blues,And then I put it away,Said I don’t think so,It makes slaves of all of womankind,Grinderman 2,2010,Grinderman
Bellringer Blues,Said I don’t think so,It makes slaves of all of womankind,And corpses of the men,Grinderman 2,2010,Grinderman
Bellringer Blues,It makes slaves of all of womankind,And corpses of the men,,Grinderman 2,2010,Grinderman
Bellringer Blues,And corpses of the men,,And I just don’t know,Grinderman 2,2010,Grinderman
Bellringer Blues,,And I just don’t know,And we care a little bit,Grinderman 2,2010,Grinderman
Bellringer Blues,And I just don’t know,And we care a little bit,And we get scared a little bit,Grinderman 2,2010,Grinderman
Bellringer Blues,And we care a little bit,And we get scared a little bit,Of those two cold dead eyes that stare a little bit,Grinderman 2,2010,Grinderman
Bellringer Blues,And we get scared a little bit,Of those two cold dead eyes that stare a little bit,And we cry a little bit,Grinderman 2,2010,Grinderman
Bellringer Blues,Of those two cold dead eyes that stare a little bit,And we cry a little bit,And we get by a little bit,Grinderman 2,2010,Grinderman
Bellringer Blues,And we cry a little bit,And we get by a little bit,Let your tears all come falling down,Grinderman 2,2010,Grinderman
Bellringer Blues,And we get by a little bit,Let your tears all come falling down,,Grinderman 2,2010,Grinderman
Bellringer Blues,Let your tears all come falling down,,Put me on a big white steed,Grinderman 2,2010,Grinderman
Bellringer Blues,,Put me on a big white steed,Ride it up and down your street,Grinderman 2,2010,Grinderman
Bellringer Blues,Put me on a big white steed,Ride it up and down your street,Wrapped up in a crimson coat,Grinderman 2,2010,Grinderman
Bellringer Blues,Ride it up and down your street,Wrapped up in a crimson coat,Sail me in a great big boat,Grinderman 2,2010,Grinderman
Bellringer Blues,Wrapped up in a crimson coat,Sail me in a great big boat,I’ll sail around the waters for you,Grinderman 2,2010,Grinderman
Bellringer Blues,Sail me in a great big boat,I’ll sail around the waters for you,Kill your sons and daughters for you,Grinderman 2,2010,Grinderman
Bellringer Blues,I’ll sail around the waters for you,Kill your sons and daughters for you,Put me on a big white horse,Grinderman 2,2010,Grinderman
Bellringer Blues,Kill your sons and daughters for you,Put me on a big white horse,Send me down to Banbury Cross,Grinderman 2,2010,Grinderman
Bellringer Blues,Put me on a big white horse,Send me down to Banbury Cross,,Grinderman 2,2010,Grinderman
Bellringer Blues,Send me down to Banbury Cross,,It’s okay Joe it’s time to go!,Grinderman 2,2010,Grinderman
Bellringer Blues,,It’s okay Joe it’s time to go!,It’s okay Joe it’s time to go!,Grinderman 2,2010,Grinderman
Bellringer Blues,It’s okay Joe it’s time to go!,It’s okay Joe it’s time to go!,It’s okay Joe it’s time to go!,Grinderman 2,2010,Grinderman
Bellringer Blues,It’s okay Joe it’s time to go!,It’s okay Joe it’s time to go!,It’s okay Joe it’s time to go!,Grinderman 2,2010,Grinderman
Bellringer Blues,It’s okay Joe it’s time to go!,It’s okay Joe it’s time to go!,,Grinderman 2,2010,Grinderman
