song,prev,lyric,next,album,year,artist
Worm Tamer,For too long!,,You know they call my baby The Mambo Rider,Grinderman 2,2010,Grinderman
Worm Tamer,,You know they call my baby The Mambo Rider,I cry storms of tears till the rising of the dawn,Grinderman 2,2010,Grinderman
Worm Tamer,You know they call my baby The Mambo Rider,I cry storms of tears till the rising of the dawn,You know I’m only happy when I’m inside her,Grinderman 2,2010,Grinderman
Worm Tamer,I cry storms of tears till the rising of the dawn,You know I’m only happy when I’m inside her,I guess that I’ve just loved you for too long,Grinderman 2,2010,Grinderman
Worm Tamer,You know I’m only happy when I’m inside her,I guess that I’ve just loved you for too long,,Grinderman 2,2010,Grinderman
Worm Tamer,I guess that I’ve just loved you for too long,,For too long!,Grinderman 2,2010,Grinderman
Worm Tamer,,For too long!,For too long!,Grinderman 2,2010,Grinderman
Worm Tamer,For too long!,For too long!,,Grinderman 2,2010,Grinderman
Worm Tamer,For too long!,,Well my baby calls me the Loch Ness Monster,Grinderman 2,2010,Grinderman
Worm Tamer,,Well my baby calls me the Loch Ness Monster,Two great big humps and then I’m gone,Grinderman 2,2010,Grinderman
Worm Tamer,Well my baby calls me the Loch Ness Monster,Two great big humps and then I’m gone,But actually I am the Abominable Snowman,Grinderman 2,2010,Grinderman
Worm Tamer,Two great big humps and then I’m gone,But actually I am the Abominable Snowman,And I guess I’ve loved you for too long,Grinderman 2,2010,Grinderman
Worm Tamer,But actually I am the Abominable Snowman,And I guess I’ve loved you for too long,,Grinderman 2,2010,Grinderman
Heathen Child,,Hey little Moo Moo,Light as a rainbow,Grinderman 2,2010,Grinderman
Heathen Child,Hey little Moo Moo,Light as a rainbow,Happy as an asteroid,Grinderman 2,2010,Grinderman
Heathen Child,Light as a rainbow,Happy as an asteroid,Crashed in the bathtub,Grinderman 2,2010,Grinderman
Heathen Child,Happy as an asteroid,Crashed in the bathtub,Yeah sitting in the bathtub,Grinderman 2,2010,Grinderman
Heathen Child,Crashed in the bathtub,Yeah sitting in the bathtub,Full of her fingers,Grinderman 2,2010,Grinderman
Heathen Child,Yeah sitting in the bathtub,Full of her fingers,Full of her fingers,Grinderman 2,2010,Grinderman
Heathen Child,Full of her fingers,Full of her fingers,Sitting in the bathtub,Grinderman 2,2010,Grinderman
Heathen Child,Full of her fingers,Sitting in the bathtub,Says I’m scared and lonely,Grinderman 2,2010,Grinderman
Heathen Child,Sitting in the bathtub,Says I’m scared and lonely,Never see no one,Grinderman 2,2010,Grinderman
Heathen Child,Says I’m scared and lonely,Never see no one,Says I’m scared and lonely,Grinderman 2,2010,Grinderman
Heathen Child,Never see no one,Says I’m scared and lonely,Here come the Wolfman,Grinderman 2,2010,Grinderman
Heathen Child,Says I’m scared and lonely,Here come the Wolfman,Saying hey little Moo Moo,Grinderman 2,2010,Grinderman
Heathen Child,Here come the Wolfman,Saying hey little Moo Moo,Saying hey little Moo Moo,Grinderman 2,2010,Grinderman
