song,album,prev,lyric,next,artist,year,,
Deep in the Woods,The Bad Seed,Saying DEAD into belly and DEATH into shoulder,Well last night she kissed me but then death was upon her,,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Well last night she kissed me but then death was upon her,,Deep in the woods,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,Deep in the woods,Deep in the woods,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods,Deep in the woods,Deep in the woods a funeral is swinging,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods,Deep in the woods a funeral is swinging,,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods a funeral is swinging,,Now the killed waits for the killer,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,Now the killed waits for the killer,"And the trees all nod their heads, they are agreed",The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Now the killed waits for the killer,"And the trees all nod their heads, they are agreed",This knife feels like a knife feels like a knife that feels like it’s,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,"And the trees all nod their heads, they are agreed",This knife feels like a knife feels like a knife that feels like it’s,feed,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,This knife feels like a knife feels like a knife that feels like it’s,feed,Yeah I recognize that girl,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,feed,Yeah I recognize that girl,I took her from rags right through to stitches,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Yeah I recognize that girl,I took her from rags right through to stitches,"Oh baby, tonight we sleep in separate ditches",The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,I took her from rags right through to stitches,"Oh baby, tonight we sleep in separate ditches",,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,"Oh baby, tonight we sleep in separate ditches",,Deep in the woods,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,Deep in the woods,Deep in the woods,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods,Deep in the woods,Deep in the woods a funeral is swinging,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods,Deep in the woods a funeral is swinging,,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods a funeral is swinging,,Love is for fools and all fools are lovers,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,Love is for fools and all fools are lovers,It’s raining on my house and none of the others,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Love is for fools and all fools are lovers,It’s raining on my house and none of the others,Love is for fools and God knows I’m still one,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,It’s raining on my house and none of the others,Love is for fools and God knows I’m still one,The sidewalks are full of love’s lonely children,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Love is for fools and God knows I’m still one,The sidewalks are full of love’s lonely children,The sidewalk regrets that we had to kill them,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,The sidewalks are full of love’s lonely children,The sidewalk regrets that we had to kill them,,The Birthday Party,1983,,
Truck Love,Burning the Ice,,Truck love! Right here!,Truck love! Right now!,Die Haut,1983,,
Truck Love,Burning the Ice,Truck love! Right here!,Truck love! Right now!,Bewitched by pure power. That’s truck love!,Die Haut,1983,,
