title,prev,line,next,album,year,artist
Cabin Fever,Slams his fucking tin-dish down,"Our Captain, takes time to crush",Some Bloo-Bottles glowin in his gruel,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Our Captain, takes time to crush",Some Bloo-Bottles glowin in his gruel,"With a lump in his throat, and lumpy mush",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Some Bloo-Bottles glowin in his gruel,"With a lump in his throat, and lumpy mush",Thumbing a scrapbook stuck up with clag,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"With a lump in his throat, and lumpy mush",Thumbing a scrapbook stuck up with clag,And a morbid lump of Love in his flags,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Thumbing a scrapbook stuck up with clag,And a morbid lump of Love in his flags,"Done is the Missing, now all that remain",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,And a morbid lump of Love in his flags,"Done is the Missing, now all that remain","Is to sail forever, upon the stain",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Done is the Missing, now all that remain","Is to sail forever, upon the stain",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Is to sail forever, upon the stain",,Cabin Fever! O o o’ Cabin Fever!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,Cabin Fever! O o o’ Cabin Fever!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Cabin Fever! O o o’ Cabin Fever!,,The captains free-hand is a cleaver,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,The captains free-hand is a cleaver,"Which he fashions his beard, and he rations his jerky!",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,The captains free-hand is a cleaver,"Which he fashions his beard, and he rations his jerky!",And carves his peg outta the finest mahogany!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Which he fashions his beard, and he rations his jerky!",And carves his peg outta the finest mahogany!,Or was it Ebony?,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,And carves his peg outta the finest mahogany!,Or was it Ebony?,"Tallies up his loneliness, notch by notch",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Or was it Ebony?,"Tallies up his loneliness, notch by notch",‘Cause the sea offers nothing to hold or touch,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Tallies up his loneliness, notch by notch",‘Cause the sea offers nothing to hold or touch,"Notch by notch, winter by winter",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,‘Cause the sea offers nothing to hold or touch,"Notch by notch, winter by winter","Notch by notch, winter by winter",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Notch by notch, winter by winter","Notch by notch, winter by winter","Now his leg is whittled, right down to a splinter",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Notch by notch, winter by winter","Now his leg is whittled, right down to a splinter",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
